,word form,frequence,,
15,della,42091947,0,206325083
23,sono,21763748,0,106680908
26,come,19155252,0,93894658
28,delle,18852148,0,92408912
29,alla,18845974,0,92378648
31,ma,18104913,0,88746137
32,anche,17830513,0,87401091
40,questo,11932841,0,58492053
41,nella,11447627,0,56113646
43,essere,9322629,0,45697392
50,dalla,7841577,0,38437614
51,degli,7820148,0,38332574
52,mi,7610568,0,37305261
53,tutti,7580308,0,37156934
54,sul,7488290,0,36705882
55,solo,7461528,0,36574701
57,hanno,6946075,0,34048069
58,questa,6919888,0,33919706
59,due,6765918,0,3316498
60,anni,6763856,0,33154873
61,loro,6688269,0,32784363
62,stato,6629641,0,32496982
63,parte,6269456,0,30731437
64,prima,6261100,0,30690478
65,sua,6198496,0,30383608
66,sia,6133122,0,30063159
67,sempre,6109590,0,29947811
71,era,5719263,0,28034517
72,uno,5664258,0,27764895
73,suo,5661718,0,27752445
74,dopo,5531745,0,27115347
75,molto,5483595,0,26879327
76,sulla,5404534,0,26491788
77,può,5374185,0,26343024
78,ogni,5280368,0,25883155
80,nei,5223295,0,25603396
81,quando,5180873,0,25395453
82,poi,5164908,0,25317196
83,nell',4830467,0,23677843
84,senza,4824357,0,23647893
85,perché,4806449,0,23560112
86,così,4775926,0,23410495
87,ancora,4685945,0,22969429
88,quello,4638744,0,22738061
89,tempo,4609411,0,22594277
90,fare,4385464,0,2149654
91,fatto,4347344,0,21309685
93,nelle,4297168,0,21063733
94,vita,4221142,0,20691071
95,quanto,4177981,0,20479506
96,proprio,4176385,0,20471683
97,altri,4139864,0,20292665
98,chi,4136650,0,20276911
99,lavoro,4093485,0,20065326
100,dove,3956255,0,19392656
102,quella,3882577,0,19031503
103,modo,3875621,0,18997406
107,anno,3734139,0,18303894
108,altro,3707931,0,18175429
109,via,3701358,0,18143209
110,grande,3656811,0,1792485
111,mondo,3652232,0,17902405
112,quindi,3633847,0,17812286
113,Italia,3620400,0,17746372
114,cosa,3605564,0,17673649
115,secondo,3507668,0,17193785
116,quale,3490333,0,17108813
117,oggi,3464482,0,16982097
118,dalle,3455391,0,16937535
119,dai,3452429,0,16923016
120,sarà,3442060,0,1687219
121,primo,3236457,0,15864371
122,tutte,3227640,0,15821152
123,ora,3220641,0,15786845
124,questi,3219300,0,15780271
125,attività,3193654,0,1565456
127,oltre,3149080,0,15436069
128,caso,3148941,0,15435388
129,fino,3148281,0,15432152
130,ore,3083775,0,15115959
131,nuovo,2985895,0,14636173
132,noi,2960379,0,145111
133,volta,2958607,0,14502414
134,casa,2952129,0,1447066
135,grazie,2939664,0,1440956
136,stesso,2908453,0,1425657
137,viene,2902384,0,14226822
138,dello,2885427,0,14143702
139,stata,2870668,0,14071357
140,mai,2847652,0,13958538
142,città,2757807,0,13518138
143,nostro,2734138,0,13402118
144,quali,2715044,0,13308524
145,fine,2683763,0,13155192
146,qui,2675714,0,13115737
147,tre,2664270,0,13059641
148,agli,2658968,0,13033652
149,abbiamo,2606629,0,12777098
150,mentre,2606417,0,12776059
151,persone,2602265,0,12755707
152,giorno,2585102,0,12671578
153,possono,2570643,0,12600703
154,bene,2569331,0,12594272
155,possibile,2528516,0,12394206
156,stati,2528407,0,12393672
157,invece,2522256,0,12363521
158,punto,2518963,0,1234738
159,qualche,2512439,0,12315401
160,infatti,2473751,0,12125761
161,storia,2466473,0,12090086
162,mio,2461825,0,12067302
163,giorni,2456356,0,12040495
164,alcuni,2426759,0,11895417
165,suoi,2409207,0,11809381
166,centro,2400440,0,11766407
167,me,2391270,0,11721458
168,altre,2371138,0,11622775
169,deve,2367874,0,11606776
170,meno,2353958,0,11538563
171,presso,2352388,0,11530867
172,attraverso,2351620,0,11527103
174,comune,2340470,0,11472448
175,sistema,2332897,0,11435327
176,nostra,2330002,0,11421136
177,progetto,2329013,0,11416288
178,però,2300642,0,1127722
179,de,2282675,0,1118915
180,sulle,2270903,0,11131446
181,corso,2266212,0,11108452
182,ciò,2262790,0,11091678
183,nuova,2262744,0,11091453
184,verso,2253743,0,11047332
185,sui,2228776,0,10924949
186,mia,2227989,0,10921092
187,servizio,2215260,0,10858697
188,euro,2206744,0,10816954
189,circa,2205121,0,10808998
190,queste,2204058,0,10803788
191,sito,2199759,0,10782715
192,momento,2192644,0,10747839
193,ricerca,2177238,0,10672322
194,contro,2153044,0,10553729
195,siamo,2149706,0,10537366
196,base,2137255,0,10476334
197,rispetto,2132178,0,10451448
198,Roma,2113120,0,1035803
199,avere,2112031,0,10352692
200,sotto,2109007,0,10337869
201,tanto,2101680,0,10301954
202,lui,2096402,0,10276082
203,particolare,2092527,0,10257088
204,soprattutto,2064989,0,10122103
205,aveva,2063972,0,10117118
206,legge,2062226,0,1010856
207,durante,2035152,0,9975849
208,servizi,1998934,0,9798317
209,poco,1997991,0,9793694
210,dire,1997685,0,9792194
211,quel,1993777,0,9773038
212,presidente,1991853,0,9763607
213,fra,1987336,0,9741466
214,negli,1958393,0,9599594
215,interno,1954085,0,9578477
216,nazionale,1953637,0,9576281
217,società,1919084,0,940691
218,gruppo,1912936,0,9376774
219,san,1912341,0,9373858
220,ben,1901546,0,9320943
221,insieme,1899250,0,9309688
222,quasi,1894825,0,9287998
223,sta,1887129,0,9250274
224,piano,1877748,0,9204291
225,esempio,1876885,0,920006
226,inoltre,1874998,0,9190811
227,fu,1852168,0,9078903
228,sue,1851665,0,9076438
229,quelli,1829187,0,8966256
230,uomo,1814162,0,8892607
231,tutta,1804945,0,8847427
232,va,1801075,0,8828457
233,quelle,1777873,0,8714726
234,numero,1772058,0,8686222
235,territorio,1768905,0,8670767
236,tale,1765782,0,8655459
237,meglio,1761131,0,8632661
238,allo,1760699,0,8630543
239,altra,1754839,0,8601819
240,far,1743666,0,8547051
241,erano,1737079,0,8514763
242,molti,1735851,0,8508744
243,dati,1723034,0,8445918
244,acqua,1720598,0,8433977
245,forse,1713114,0,8397292
246,paese,1709826,0,8381175
248,spesso,1702537,0,8345446
249,stessa,1690628,0,8287071
250,prodotti,1681371,0,8241696
251,volte,1676311,0,8216893
252,importante,1676038,0,8215554
253,scuola,1674810,0,8209535
254,comunque,1673471,0,8202972
255,posto,1667416,0,8173291
256,livello,1661344,0,8143528
257,qualità,1649181,0,8083908
258,tipo,1631282,0,7996171
259,visto,1624332,0,7962103
260,aver,1621418,0,794782
261,dio,1611880,0,7901067
262,informazioni,1601403,0,7849711
263,cose,1597863,0,7832358
264,possibilità,1593680,0,7811854
265,detto,1589591,0,7791811
266,sarebbe,1589536,0,7791541
268,propria,1581013,0,7749764
269,pubblico,1555738,0,7625871
270,serie,1552224,0,7608647
271,realtà,1547093,0,7583496
272,allora,1540030,0,7548874
273,nome,1535270,0,7525542
274,grandi,1526944,0,748473
275,alcune,1515445,0,7428364
276,sviluppo,1509693,0,7400169
277,terra,1508555,0,7394591
278,saranno,1507065,0,7387287
279,sei,1501164,0,7358362
280,programma,1480921,0,7259136
281,chiesa,1479341,0,7251391
282,vista,1478954,0,7249494
283,consiglio,1472543,0,7218069
284,vero,1471158,0,721128
285,po',1458223,0,7147875
286,diversi,1456834,0,7141067
